key,values
Modern Spam Filters,['Modern Spam Filters']
Educational Content,['Educational Content']
Storytelling with Graphics,['Storytelling with Graphics']
Human Factors,['Human Factors']
Peakend Rule,['Peakend Rule']
Marshalling,['Marshalling']
Decoupling,['Decoupling']
Usability Assessment,"['Usability Analysis', 'Usability Assessment', 'Usability Evaluation']"
Functionality,['Functionality']
Security Governance and Compliance,"['Security Techniques', 'security technique', 'security technique', 'Governance and Compliance', 'Security Governance and Compliance']"
Screwbased Mechanics,['Screwbased Mechanics']
Analyzing Test Data,['Analyzing Test Data']
Customized Proposal,['Customized Proposal']
Changing Types of Variables,['Changing Types of Variables']
UDF (Userdefined Functions),"['UDF (Userdefined Functions)', 'UserDefined Functions']"
Scene Analysis,['Scene Analysis']
Window Functions,"['Window Function', 'Window Functions']"
Reports,"['Accurate Reports', 'Reports']"
Data Storage Formats,['Data Storage Formats']
Employer Support,['Employer Support']
Lightning Web Components,['Lightning Web Components']
Climate Issues,['Climate Issues']
Cyberwar,['Cyberwar']
getElementsByClassName,['getElementsByClassName']
Traveling Security,['Traveling Security']
Controlling access to resources,['Controlling access to resources']
RobotAssisted Surgery,['RobotAssisted Surgery']
Process Insurance Claims,"['Process Insurance Claims', 'Processing Insurance Claims', 'insurance claims processing']"
Securing the perimeter,['Securing the perimeter']
Django,['Django']
Willingness to Pay,['Willingness to Pay']
Web Browser,['Web Browser']
Workshop Venues,['Workshop Venues']
Model of Language Process,['Model of Language Process']
CMI,"['CMI', 'CMMI']"
Advanced Flutter Development,['Advanced Flutter Development']
Iterative,['Iterative']
Misconceptions,['Misconceptions']
Generalized Estimating Equation,['Generalized Estimating Equation']
Picture/Video,['Picture/Video']
Precision,['Precision']
Report Customization,['Report Customization']
Flakiness Resolution,['Flakiness Resolution']
Retirement Plans,['Retirement Plans']
ES6,"['ES6 Module', 'ES6+']"
Short Story Writing,['Short Story Writing']
Dosage Instructions,['Dosage Instructions']
Accounting Software,['Accounting Software']
No Vacancies,['No Vacancies']
Report Content,['Report Content']
Sentence Structure Modification,['Sentence Structure Modification']
Game AI,"['Game AI', 'Playing AI']"
Strategic Transformation,['Strategic Transformation']
Covenants,['Covenants']
addEventListener,['addEventListener']
Tool Selection,['Tool Selection']
Assigned Quotas,['Assigned Quotas']
Good Presentation,"['presentation techniques', 'Excellent Presentation', 'Good Presentation']"
Data used for financial and accounting purposes,['Data used for financial and accounting purposes']
Government Safety Regulations,['Government Safety Regulations']
Universal arm,['Universal arm']
Software Development Components,['Software Development Components']
Brand Positioning,['Brand Positioning']
Positive Result,['Positive Result']
Securing devices,['Securing devices']
Yml File,['Yml File']
Region Pairs,['Region Pairs']
Risk,['Risk']
Operating Temperature Ranges,['Operating Temperature Ranges']
Content Management,"['Content Management', 'content management']"
Volatile Organic Compounds VOC,['Volatile Organic Compounds VOC']
Avoiding Online Shopping,['Avoiding Online Shopping']
IfElse Statements,['IfElse Statements']
ML Workflow,['ML Workflow']
Biology,['Biology']
CO2,['CO2']
Dog Handling,['Dog Handling']
Patient Counseling,['Patient Counseling']
Smart Coordination,['Smart Coordination']
Climate Models,['Climate Models']
Fast Tasks,['Fast Tasks']
Meal Service,['Meal Service']
Accessibility Guidelines,['Accessibility Guidelines']
Click and Operate,['Click and Operate']
Data Integrity Monitoring,['Data Integrity Monitoring']
Certificate Revocation,['Certificate Revocation']
Sender,['Sender']
HighEnd Actuators,"['HighEnd Actuators', 'Highend actuators']"
Technical Requirement,['Technical Requirement']
Understand Childs Behaviour,"['Interpret Childs Behaviour', 'Observe Childs Behaviour']"
Debater,['Debater']
Time Management,"['Timekeeping', 'Time Management', 'Time Management Skills']"
BiasVariance Decomposition,['BiasVariance Decomposition']
Link Sharing,['Link Sharing']
Electrical Parameters,['Electrical Parameters']
Scheduling Appointments,"['Arrange Appointments', 'Making Appointments', 'Schedule Appointments', 'Scheduling Appointments']"
Quick Reply,['Quick Reply']
Simulationbased Learning,"['SimulationBased Learning', 'Simulationbased Learning']"
Uploaded Data,['Uploaded Data']
Large Synoptic Survey Telescope,['Large Synoptic Survey Telescope']
Technical Solution,['Technical Solution']
Reserved Instance,['Reserved Instance']
Operate & Control Equipment,['Operate & Control Equipment']
Human Movement,['Human Movement']
Configure Existing Modules,['Configure Existing Modules']
Prototype Cases,['Prototype Cases']
Executive Development,['Executive Development']
Labeling People,['Labeling People']
Safety Aspects,['Safety Aspects']
Motion Design,"['Motion Design', 'Motion Design Skills']"
Social Research,['Social Research']
Requirement Gathering,"['Requirement Gathering', 'Requirements Gathering']"
Define,['Define']
User,['User']
Maximum Likelihood,['Maximum Likelihood']
Personal Skills Development,['Personal Skills Development']
Procurement Activities,['Procurement Activities']
Creating Artwork,['Creating Artwork']
KPI,['KPI']
Modeling and Simulation Tools,['Modeling and Simulation Tools']
Drug Enforcement,['Drug Enforcement']
SMS Spoofing,['SMS Spoofing']
Documentation,"['Documentation', 'Documenting Requirements']"
Environmental Values,['Environmental Values']
Health Coverage,['Health Coverage']
Self Learning Responsible AI,['Self Learning Responsible AI']
Other Personality Type,['Other Personality Type']
Dictionary Attack,['Dictionary Attack']
Cost Saving Initiatives,['Cost Saving Initiatives']
Pharmaceutical Industry,['Pharmaceutical Industry']
Project Manager Study Groups,['Project Manager Study Groups']
Explanation Framework,['Explanation Framework']
Ockhams Razor,['Ockhams Razor']
loess,['loess']
Nature of Computation,['Nature of Computation']
The design,['The design']
Acceptance Testing,['Acceptance Testing']
Synchronous Communication,['Synchronous Communication']
Base & View Sharing,['Base & View Sharing']
Business Objective,['Business Objective']
Button Animation,['Button Animation']
Google Analytics,['Google Analytics']
Classifier,['Classifier']
Design Reviews,['Design Reviews']
Hiring Practices,['Hiring Practices']
Simple Queue Service,['Simple Queue Service']
Metric Handbook,['Metric Handbook']
Customer Expectations of Service,['Customer Expectations of Service']
Primary School,['Primary School']
Flex Basis,['Flex Basis']
IEC 611313,['IEC 611313']
Lowcode Development,['Lowcode Development']
Concierge Test,['Concierge Test']
Certified Kubernetes Security Specialist (CKS),['Certified Kubernetes Security Specialist (CKS)']
Software,"['Software', 'Software Tools']"
Hybrid,['Hybrid']
Offline Functionality,['Offline Functionality']
App Resources,['App Resources']
High Quality,"['High Quality', 'Quality']"
Normality Test,['Normality Test']
Security Incidents,['Security Incidents']
Alignment & Autonomy,['Alignment & Autonomy']
Generic Function,['Generic Function']
speed,"['Faster Speed', 'Speed', 'speed']"
Variational Autoencoder,['Variational Autoencoder']
Private Sector Clients,['Private Sector Clients']
Designing Autonomous Robots,['Designing Autonomous Robots']
High Engagement,['High Engagement']
Analysis Procedures,['Analysis Procedures']
Looker Studio,"['Google Looker Studio', 'Looker Studio']"
Tool Usage,['Tool Usage']
Revenue Generation,['Revenue Generation']
External Vulnerabilities,['External Vulnerabilities']
RAM,['RAM']
AutoLogin,['AutoLogin']
Game Tools Pipeline,['Game Tools Pipeline']
Insight Generation,['Insight Generation']
Password Practice,['Password Practice']
Planned Outcomes,['Planned Outcomes']
Efficient Android App Development,['Efficient Android App Development']
Instant Stories,['Instant Stories']
Machine Learning Deployment,['Machine Learning Deployment']
Background Sync,['Background Sync']
Reduced Errors,"['Reduced Errors', 'Reduced errors']"
Historical Cryptosystem,['Historical Cryptosystem']
Advertising,"['Advertising', 'Basic Advertising Principles']"
AI Principles,"['Responsible AI Principles', 'AI Principles']"
Automatic Page Numbering,['Automatic Page Numbering']
Shop Floor Problems,['Shop Floor Problems']
Data Center,['Data Center']
Activity Space,['Activity Space']
Waterfall Model,['Waterfall Model']
Ubiquitous Language,['Ubiquitous Language']
Psychological,"['Psychological Concepts', 'Psychological Technique']"
Excel Macro,['Excel Macro']
TSV,['TSV']
Word Choice,['Word Choice']
Information System Knowledge,['Information System Knowledge']
Threat Database,['Threat Database']
Elastic Kubernetes Service,['Elastic Kubernetes Service']
Personal Portfolio,['Personal Portfolio']
Majorization–Minimization Method,['Majorization–Minimization Method']
Mental Health Policies,"['Mental Health Policies', 'Mental Health Policy']"
Evidence Analysis,['Evidence Analysis']
NHS,"['NHS General Management graduate scheme', 'NHS Values']"
Deliverable Date,['Deliverable Date']
ASP.NET,['ASP.NET']
Serving,"['Servicing', 'Serving']"
Package Installation,['Package Installation']
Amazon Cost Explorer,['Amazon Cost Explorer']
Stark,['Stark']
Probabilistic Methods,['Probabilistic Methods']
Methods,"['Methods', 'methods']"
Reframing,['Reframing']
Create your own natural language training corpus for machine learning,['Create your own natural language training corpus for machine learning']
Tax Benefit,['Tax Benefit']
Methods of Aggregation,['Methods of Aggregation']
Cloud Admin,['Cloud Admin']
Budget Setting,['Budget Setting']
API & Functional Manual Test,['API & Functional Manual Test']
Campaign Data,"['Campaign Data', 'Digital Campaign Data']"
Anticipating Needs,['Anticipating Needs']
Features vs. Benefits,['Features vs. Benefits']
Electrical Engineering,['Electrical Engineering']
Embedded AI Accelerator Chips,"['Embedded AI Accelerator', 'Embedded AI Accelerator Chips','AI Accelerator Integration']"
Style Button,"['Style Button', 'Styling Button']"
Behavioural Insights,['Behavioural Insights']
Computer Architecture,['Computer Architecture']
Data examination,['Data examination']
DOT Projects,['DOT Projects']
Operating Machinery,"['Machine Operation', 'Operating Machinery']"
Computational Models,"['Computational Model', 'Computational Models']"
Attendee Signup,['Attendee Signup']
AJAX Websites,['AJAX Websites']
Duplicate Removal,['Duplicate Removal']
Internet of Things Applications,['Internet of Things Applications']
Complex Feature,['Complex Feature']
Risk Reduction,['Risk Reduction']
Summ,['Summ']
Learning Algorithm,['Learning Algorithm']
