skill_id,skill_name,taxonomy_l1_name,taxonomy_l2_name
skill_1,Modern Spam Filters,Cyber & Information Security,Fraud and Deception Detection
skill_2,Educational Content,Information & Digital Skills,Content Creation & Management
skill_3,Storytelling with Graphics,General and Specialized Skills,Storytelling and Narrative Development
skill_4,Human Factors,General and Specialized Skills,Human-Centered Knowledge & Learning
skill_5,Peakend Rule,General and Specialized Skills,Foundational Concepts and Analysis
skill_6,Marshalling,General and Specialized Skills,General Tools and Techniques
skill_7,Decoupling,General and Specialized Skills,Foundational Concepts and Analysis
skill_8,Usability Assessment,General and Specialized Skills,"Access, Usability, and Files"
skill_9,Functionality,General and Specialized Skills,Foundational Concepts and Analysis
skill_10,Security Governance and Compliance,Cyber & Information Security,Cybersecurity and Protection
skill_11,Screwbased Mechanics,General and Specialized Skills,"Production, Engineering, & Maintenance"
skill_12,Analyzing Test Data,General and Specialized Skills,Testing and Validation
skill_13,Customized Proposal,General and Specialized Skills,Foundational Concepts and Analysis
skill_14,Changing Types of Variables,General and Specialized Skills,Foundational Concepts and Analysis
skill_15,UDF (Userdefined Functions),General and Specialized Skills,Foundational Concepts and Analysis
skill_16,Scene Analysis,General and Specialized Skills,Visual Design and Representation
skill_17,Window Functions,General and Specialized Skills,Data Visualization and UI Elements
skill_18,Reports,Information & Digital Skills,"Writing, Documentation, and Reporting"
skill_19,Data Storage Formats,Cloud & Infrastructure Technology,Data Storage and Management
skill_20,Employer Support,General and Specialized Skills,Human Resources & Labor
skill_21,Lightning Web Components,Cloud & Infrastructure Technology,Web and API Development
skill_22,Climate Issues,Science and Engineering,Environmental Sustainability & Climate
skill_23,Cyberwar,Cyber & Information Security,Cyber Threats and Defense
skill_24,getElementsByClassName,General and Specialized Skills,Foundational Concepts and Analysis
skill_25,Traveling Security,Cyber & Information Security,Cybersecurity and Protection
skill_26,Controlling access to resources,General and Specialized Skills,Research and Resource Management
skill_27,RobotAssisted Surgery,General and Specialized Skills,Robotics and Robotic Systems
skill_28,Process Insurance Claims,General and Specialized Skills,Risk Management and Insurance
skill_29,Securing the perimeter,Cyber & Information Security,Cybersecurity and Protection
skill_30,Django,Information & Digital Skills,Python Programming and Django
skill_31,Willingness to Pay,Financial Management & Policy,"Economics, Cost, and Pricing"
skill_32,Web Browser,Cloud & Infrastructure Technology,Web and API Development
skill_33,Workshop Venues,General and Specialized Skills,General and Foundational Skills
skill_34,Model of Language Process,Information & Digital Skills,"Linguistics, Language, and Communication"
skill_35,CMI,General and Specialized Skills,General Tools and Techniques
skill_36,Advanced Flutter Development,General and Specialized Skills,Flutter Development and Sensors
skill_37,Iterative,General and Specialized Skills,General Tools and Techniques
skill_38,Misconceptions,General and Specialized Skills,Problem Solving & Requirements
skill_39,Generalized Estimating Equation,General and Specialized Skills,Foundational Concepts and Analysis
skill_40,Picture/Video,General and Specialized Skills,Image and Video Production
skill_41,Precision,General and Specialized Skills,Foundational Concepts and Analysis
skill_42,Report Customization,Information & Digital Skills,"Writing, Documentation, and Reporting"
skill_43,Flakiness Resolution,General and Specialized Skills,Flutter Development and Sensors
skill_44,Retirement Plans,Financial Management & Policy,Accounting and Financial Management
skill_45,ES6,General and Specialized Skills,General Tools and Techniques
skill_46,Short Story Writing,General and Specialized Skills,Storytelling and Narrative Development
skill_47,Dosage Instructions,General and Specialized Skills,Health and Patient Care
skill_48,Accounting Software,Financial Management & Policy,Accounting and Financial Management
skill_49,No Vacancies,General and Specialized Skills,Problem Solving & Requirements
skill_50,Report Content,Information & Digital Skills,"Writing, Documentation, and Reporting"
skill_51,Sentence Structure Modification,Information & Digital Skills,"Writing, Documentation, and Reporting"
skill_52,Game AI,General and Specialized Skills,Game Design and Development
skill_53,Strategic Transformation,Business Operations & Strategy,"Strategy, Efficiency & Compliance"
skill_54,Covenants,General and Specialized Skills,Problem Solving & Requirements
skill_55,addEventListener,General and Specialized Skills,Foundational Concepts and Analysis
